epoch 102        Loss = 0.038    Acc = 0.426     MinLoss = 0.038         MaxAcc = 0.437
epoch 103        Loss = 0.037    Acc = 0.429     MinLoss = 0.037         MaxAcc = 0.437
epoch 104        Loss = 0.038    Acc = 0.436     MinLoss = 0.037         MaxAcc = 0.437
epoch 105        Loss = 0.037    Acc = 0.426     MinLoss = 0.037         MaxAcc = 0.437
epoch 106        Loss = 0.037    Acc = 0.433     MinLoss = 0.037         MaxAcc = 0.437
epoch 107        Loss = 0.037    Acc = 0.435     MinLoss = 0.037         MaxAcc = 0.437
epoch 108        Loss = 0.037    Acc = 0.437     MinLoss = 0.037         MaxAcc = 0.437
epoch 109        Loss = 0.037    Acc = 0.434     MinLoss = 0.037         MaxAcc = 0.437
epoch 110        Loss = 0.038    Acc = 0.427     MinLoss = 0.037         MaxAcc = 0.437
epoch 111        Loss = 0.037    Acc = 0.440     MinLoss = 0.037         MaxAcc = 0.440
epoch 112        Loss = 0.037    Acc = 0.432     MinLoss = 0.037         MaxAcc = 0.440
epoch 113        Loss = 0.036    Acc = 0.428     MinLoss = 0.036         MaxAcc = 0.440
epoch 114        Loss = 0.037    Acc = 0.435     MinLoss = 0.036         MaxAcc = 0.440
epoch 115        Loss = 0.037    Acc = 0.430     MinLoss = 0.036         MaxAcc = 0.440
epoch 116        Loss = 0.037    Acc = 0.439     MinLoss = 0.036         MaxAcc = 0.440
epoch 117        Loss = 0.037    Acc = 0.435     MinLoss = 0.036         MaxAcc = 0.440
epoch 118        Loss = 0.037    Acc = 0.435     MinLoss = 0.036         MaxAcc = 0.440
epoch 119        Loss = 0.036    Acc = 0.440     MinLoss = 0.036         MaxAcc = 0.440
epoch 120        Loss = 0.036    Acc = 0.443     MinLoss = 0.036         MaxAcc = 0.443
epoch 121        Loss = 0.036    Acc = 0.436     MinLoss = 0.036         MaxAcc = 0.443
epoch 122        Loss = 0.036    Acc = 0.430     MinLoss = 0.036         MaxAcc = 0.443
epoch 123        Loss = 0.036    Acc = 0.448     MinLoss = 0.036         MaxAcc = 0.448
epoch 124        Loss = 0.036    Acc = 0.438     MinLoss = 0.036         MaxAcc = 0.448
epoch 125        Loss = 0.036    Acc = 0.430     MinLoss = 0.036         MaxAcc = 0.448
epoch 126        Loss = 0.036    Acc = 0.430     MinLoss = 0.036         MaxAcc = 0.448
epoch 127        Loss = 0.035    Acc = 0.439     MinLoss = 0.035         MaxAcc = 0.448
epoch 128        Loss = 0.036    Acc = 0.431     MinLoss = 0.035         MaxAcc = 0.448
epoch 129        Loss = 0.036    Acc = 0.430     MinLoss = 0.035         MaxAcc = 0.448
epoch 130        Loss = 0.036    Acc = 0.440     MinLoss = 0.035         MaxAcc = 0.448
epoch 131        Loss = 0.035    Acc = 0.439     MinLoss = 0.035         MaxAcc = 0.448
epoch 132        Loss = 0.036    Acc = 0.431     MinLoss = 0.035         MaxAcc = 0.448
epoch 133        Loss = 0.035    Acc = 0.432     MinLoss = 0.035         MaxAcc = 0.448
epoch 134        Loss = 0.036    Acc = 0.434     MinLoss = 0.035         MaxAcc = 0.448
epoch 135        Loss = 0.035    Acc = 0.436     MinLoss = 0.035         MaxAcc = 0.448
epoch 136        Loss = 0.035    Acc = 0.447     MinLoss = 0.035         MaxAcc = 0.448
epoch 137        Loss = 0.035    Acc = 0.439     MinLoss = 0.035         MaxAcc = 0.448
epoch 138        Loss = 0.034    Acc = 0.443     MinLoss = 0.034         MaxAcc = 0.448
epoch 139        Loss = 0.034    Acc = 0.440     MinLoss = 0.034         MaxAcc = 0.448
epoch 140        Loss = 0.035    Acc = 0.449     MinLoss = 0.034         MaxAcc = 0.449
epoch 141        Loss = 0.034    Acc = 0.445     MinLoss = 0.034         MaxAcc = 0.449
epoch 142        Loss = 0.034    Acc = 0.442     MinLoss = 0.034         MaxAcc = 0.449
epoch 143        Loss = 0.034    Acc = 0.445     MinLoss = 0.034         MaxAcc = 0.449
epoch 144        Loss = 0.034    Acc = 0.450     MinLoss = 0.034         MaxAcc = 0.450
epoch 145        Loss = 0.034    Acc = 0.451     MinLoss = 0.034         MaxAcc = 0.451
epoch 146        Loss = 0.034    Acc = 0.436     MinLoss = 0.034         MaxAcc = 0.451
epoch 147        Loss = 0.034    Acc = 0.450     MinLoss = 0.034         MaxAcc = 0.451
epoch 148        Loss = 0.033    Acc = 0.448     MinLoss = 0.033         MaxAcc = 0.451
epoch 149        Loss = 0.034    Acc = 0.453     MinLoss = 0.033         MaxAcc = 0.453
epoch 150        Loss = 0.033    Acc = 0.450     MinLoss = 0.033         MaxAcc = 0.453
epoch 151        Loss = 0.034    Acc = 0.447     MinLoss = 0.033         MaxAcc = 0.453
epoch 152        Loss = 0.034    Acc = 0.450     MinLoss = 0.033         MaxAcc = 0.453
epoch 153        Loss = 0.033    Acc = 0.441     MinLoss = 0.033         MaxAcc = 0.453
epoch 154        Loss = 0.033    Acc = 0.439     MinLoss = 0.033         MaxAcc = 0.453
epoch 155        Loss = 0.033    Acc = 0.449     MinLoss = 0.033         MaxAcc = 0.453
epoch 156        Loss = 0.033    Acc = 0.444     MinLoss = 0.033         MaxAcc = 0.453
epoch 157        Loss = 0.033    Acc = 0.457     MinLoss = 0.033         MaxAcc = 0.457
epoch 158        Loss = 0.033    Acc = 0.441     MinLoss = 0.033         MaxAcc = 0.457
epoch 159        Loss = 0.034    Acc = 0.447     MinLoss = 0.033         MaxAcc = 0.457
epoch 160        Loss = 0.033    Acc = 0.462     MinLoss = 0.033         MaxAcc = 0.462
epoch 161        Loss = 0.033    Acc = 0.455     MinLoss = 0.033         MaxAcc = 0.462
epoch 162        Loss = 0.033    Acc = 0.453     MinLoss = 0.033         MaxAcc = 0.462
epoch 163        Loss = 0.032    Acc = 0.462     MinLoss = 0.032         MaxAcc = 0.462
epoch 164        Loss = 0.033    Acc = 0.449     MinLoss = 0.032         MaxAcc = 0.462
epoch 165        Loss = 0.033    Acc = 0.459     MinLoss = 0.032         MaxAcc = 0.462
epoch 166        Loss = 0.032    Acc = 0.459     MinLoss = 0.032         MaxAcc = 0.462
epoch 167        Loss = 0.033    Acc = 0.450     MinLoss = 0.032         MaxAcc = 0.462
epoch 168        Loss = 0.033    Acc = 0.460     MinLoss = 0.032         MaxAcc = 0.462
epoch 169        Loss = 0.033    Acc = 0.449     MinLoss = 0.032         MaxAcc = 0.462
epoch 170        Loss = 0.033    Acc = 0.435     MinLoss = 0.032         MaxAcc = 0.462
epoch 171        Loss = 0.032    Acc = 0.453     MinLoss = 0.032         MaxAcc = 0.462
epoch 172        Loss = 0.032    Acc = 0.443     MinLoss = 0.032         MaxAcc = 0.462
epoch 173        Loss = 0.032    Acc = 0.444     MinLoss = 0.032         MaxAcc = 0.462
epoch 174        Loss = 0.032    Acc = 0.443     MinLoss = 0.032         MaxAcc = 0.462
